#  RA(J2000)     Dec(J2000)       AORKEY      Observation_start_time   ProgramID  
  13h25m27.62s   -43d01m08.8s	   4939008     2004-02-10  	         101 
  14h21m03.68s   +3d16m15.6s	   10897408    2005-07-15  	        3403 
  15h01m11.10s   +1d42m08.0s	   4490496     2004-02-17  	          69 
  15h06m00.78s   +1d38m01.7s	   14572544    2005-08-23  	       20371 
  15h06m29.29s   +1d36m20.2s	   16310272    2006-02-13  	       20140 
  15h06m29.20s   +1d36m20.0s	   4491264     2004-03-08  	          69 
  16h32m31.97s   +82d32m16.5s	   10924288    2004-12-16  	        3418 
  21h18m33.05s   +26d26m48.7s	   19168000    2006-11-26  	       30877 
  23h18m23.50s   -42d22m14.0s	   12478720    2004-11-27  	        3269 
  23h18m22.90s   -42d22m11.0s	   41199616    2011-01-08  	       61068 
  23h18m22.90s   -42d22m11.0s	   41208832    2011-07-19  	       61068 
  23h20m14.52s   +8d12m22.5s	   18037760    2006-12-25  	       30318 
  23h50m58.93s   +27d13m41.8s	   35345408    2010-01-16  	       61009 
  7h19m30.92s	 +59d21m18.4s	   36023296    2009-11-10  	       61009 
